WIID,Description,Type,Status,Date
101438411,Process Vendor Invoice,WI3,Open,2021-05-28
101438405,Process Vendor Invoice,WI3,Open,2022-07-11
101438437,Research Client Check Copy,WI2,Open,2021-06-20
101438425,Research Client Check Copy,WI2,Open,2023-01-14
101438440,Research Client Check Copy,WI2,Open,2023-09-27
101438467,Verify Account Position,WI1,Open,2021-04-22
101438402,Generate Yearly Report for Vendor,WI4,Open,2022-04-09
101438409,Process Vendor Invoice,WI3,Open,2023-01-01
101438452,Verify Account Position,WI1,Open,2023-01-23
101438449,Verify Account Position,WI1,Open,2021-04-20
